scenario_seed,algorithm_seed,generic_j,hybrid_j
45,100,250499.76778832506,247609.01057647547
45,101,231476.9952820775,230813.47795676196
45,102,258565.15734470054,246438.12462142037
46,100,227529.69830211884,226052.41028754666
46,101,221783.841792187,220894.58937404925
46,102,204906.49977423993,201326.92453040494
47,100,228431.47831153002,225479.77936759402
47,101,222591.32750780482,217739.30422018483
47,102,224560.13955658075,224560.13955658075
48,100,229905.24889953947,229505.08650996402
48,101,225566.33479090882,225566.33479090882
48,102,221920.57886810423,221736.24556109073
49,101,203805.6345629397,203541.55941880093
49,102,216544.77079908413,216306.4081505197
50,100,225231.82340411944,225231.82340411944
50,101,226569.21954401798,226123.18251803966
50,102,208930.14780932077,208930.14780932077
51,100,237400.79368034366,236042.9175290405
51,101,228344.1615701458,227884.7112099971
51,102,224802.5722268212,224369.8847558402
52,101,226761.356393221,226602.53584775302
