scenario_seed,algorithm_seed,generic_j,hybrid_j
45,100,869675.431725161,869675.431725161
45,101,896975.1435046361,876903.0638594842
45,102,974179.7956589907,974179.7956589907
46,101,918395.0921745718,918395.0921745718
46,102,943331.1473642571,923459.1634374389
47,100,858008.3264313232,858008.3264313232
47,101,835636.2332079145,835636.2332079145
47,102,773267.7958459198,773267.7958459198
