tasks,scenario_seed,algorithm_seed,method,comparison,metric,difference,energy_tolerance_j
50,46,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.687461491061667,2.277685579358905
50,46,101,fixed_task_route,stage2_minus_stage1,energy_j,1.9005962202791125,2.277685579358905
50,46,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.9336967253281614,2.277685579358905
50,46,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.973266125138366,2.277685579358905
50,46,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-3.052036845474504e-09,2.277685579358905
50,46,101,full,stage2_minus_stage1,normalized_cpu,-0.5147182938780563,1.8100084026500023
50,46,101,full,stage2_minus_stage1,energy_j,1.4957463624887168,1.8100084026500023
50,46,101,full,stage2_minus_stage1,mean_delay_s,-0.27623598791223003,1.8100084026500023
50,46,101,full,stage2_minus_stage1,p95_delay_s,-0.2075129279417638,1.8100084026500023
50,46,101,full,stage2_minus_stage1,min_deadline_slack_s,-1.3660616104971268e-07,1.8100084026500023
50,46,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.687461491061667,2.277685579358905
50,46,102,fixed_task_route,stage2_minus_stage1,energy_j,1.9005962202791125,2.277685579358905
50,46,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.9336967253281614,2.277685579358905
50,46,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-2.973266125138366,2.277685579358905
50,46,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-3.052036845474504e-09,2.277685579358905
50,47,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.18141998121223957,2.2416392622251293
50,47,100,fixed_task_route,stage2_minus_stage1,energy_j,2.2416391970182303,2.2416392622251293
50,47,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.4542881617254011,2.2416392622251293
50,47,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,1.3885471616958966e-07,2.2416392622251293
50,47,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,-5.588312887994107e-07,2.2416392622251293
50,47,100,full,stage2_minus_stage1,normalized_cpu,-0.22101241078581624,2.1096398123977993
50,47,100,full,stage2_minus_stage1,energy_j,2.1096396315842867,2.1096398123977993
