tasks,scenario_seed,algorithm_seed,method,code_commit,solution_sha256,stage1_qualified,stage2_qualified,nominal_budget_s,search_runtime_s,overrun_s,resource_recompute_runtime_s,audit_runtime_s,oracle_calls,oracle_cache_hits,freeze_rejections,unique_admissible_structures,direct_structure_calls
50,47,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,c4ae80b886be3e1035a8f371084c68da704f03af98a2c49a8e7c5634a0fdc87d,True,True,15.0,15.409787818000005,0.4097878180000052,0.6597323319999902,0.005624572000002104,6,2,0,30,5
50,47,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,6ea7305888d2660e3c0073cea9b7230c2282eb032f5bfb4a387380acdea46f0c,True,False,15.0,13.285670780000004,0.0,6.432556489999996,0.004918142999997599,2,3,153,43,33
50,47,101,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,0d7f0ff436e8ecbe91651eb1ce2a80228e60b0e06833f59312e6ae5286326558,True,True,15.0,13.769072684000008,0.0,0.6415011840000062,0.005286983000004852,3,2,78,6,16
50,47,101,full,7faa40a469f7e673d8e2552652e804ca5481d822,c4ae80b886be3e1035a8f371084c68da704f03af98a2c49a8e7c5634a0fdc87d,True,True,15.0,15.515620304999999,0.5156203049999988,0.6429636579999993,0.005529311000003645,7,2,0,30,5
50,47,102,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,fb38c923ed7f927c51c095acb26170f79d7ebf828fe5d1a3214191209ea6517a,True,False,15.0,12.597139787999993,0.0,7.500865401999988,0.00492936300000224,1,2,224,28,35
50,47,102,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,0d7f0ff436e8ecbe91651eb1ce2a80228e60b0e06833f59312e6ae5286326558,True,True,15.0,14.139770641000013,0.0,0.6726462949999927,0.005263177999978552,3,2,78,6,17
50,47,102,full,7faa40a469f7e673d8e2552652e804ca5481d822,57009bc74faaab03f3acc7c0231a7eb3d0aa404b4aa0e7f6c58423274bfbdc88,True,True,15.0,14.654797925999986,0.0,2.7228912190000187,0.005386360000017021,6,3,0,61,14
50,48,100,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,99a13ffadaf46179ac091b46b7d6f5aed87cca67ffd4dc1c10783d7e1ec436ad,True,False,15.0,13.780373381999993,0.0,7.231874118999997,0.004811071000005995,6,2,96,70,28
50,48,100,fixed_task_route,7faa40a469f7e673d8e2552652e804ca5481d822,91c0980fc77e088a49498ec21b0109a79f61f0c03b042cbbe1d4ca07f8d45aa9,True,True,15.0,13.466270503999993,0.0,0.6032959130000108,0.004857504999989715,4,2,118,4,30
50,48,100,full,7faa40a469f7e673d8e2552652e804ca5481d822,630080f34dab0fae42c3c8ea7d50793e83d65ddf90e5e9b56d992d03ea535919,True,True,15.0,14.35331696099999,0.0,0.588732661999984,0.004769009000000324,6,3,0,93,19
50,48,101,fixed_contacts,7faa40a469f7e673d8e2552652e804ca5481d822,78127e7dc173198e7df0aec91619649b05ecb986faac2656a5f3d719251f0ef3,True,False,15.0,13.008194643000024,0.0,7.0305256120000195,0.0048143729999878815,3,3,122,73,35
